URL,Image Source,Alt Text,Price
/product/tarte-maracuja-juicy-lip-vinyl-P509396?skuId=2737112&amp;icid2=products grid:p509396:product,https://www.sephora.com/productimages/sku/s2737112-main-zoom.jpg?imwidth=175,tarte - maracuja juicy lip vinyl,26.0
/product/givenchy-le-rouge-sheer-velvet-matte-lipstick-P474948?skuId=2484715&amp;icid2=products grid:p474948:product,https://www.sephora.com/productimages/sku/s2484715-main-zoom.jpg?imwidth=175,Givenchy - Le Rouge Sheer Velvet Matte Lipstick,44.0
/product/patrick-ta-major-headlines-matte-suede-lipstick-P458748?skuId=2699320&amp;icid2=products grid:p458748:product,https://www.sephora.com/productimages/sku/s2699320-main-zoom.jpg?imwidth=175,PATRICK TA - Major Headlines Matte Suede Lipstick,32.0
/product/cocoa-bold-cream-lipstick-P501036?skuId=2600948&amp;icid2=products grid:p501036:product,https://www.sephora.com/productimages/sku/s2600948-main-zoom.jpg?imwidth=175,Too Faced - Cocoa Bold Cream Lipstick,29.0
/product/gucci-rouge-de-beaut-eacute-brillant-glow-care-lipstick-P471239?skuId=2448934&amp;icid2=products grid:p471239:product,https://www.sephora.com/productimages/sku/s2448934-main-zoom.jpg?imwidth=175,Gucci - Glow &amp; Care Shine Lipstick,49.0
/product/fenty-beauty-rihanna-gloss-bomb-heat-universal-lip-luminizer-plumper-P473708?skuId=2656254&amp;icid2=products grid:p473708:product,https://www.sephora.com/productimages/sku/s2656254-main-zoom.jpg?imwidth=175,Fenty Beauty by Rihanna - Gloss Bomb Heat Universal Lip Luminizer + Plumper,26.0
/product/charlotte-tilbury-superstar-lips-lipstick-pillow-talk-collection-P455322?skuId=2244606&amp;icid2=products grid:p455322:product,https://www.sephora.com/productimages/sku/s2244606-main-zoom.jpg?imwidth=175,Charlotte Tilbury - Superstar Lips Lipstick - Pillow Talk Collection,35.0
/product/danessa-myricks-colorfix-24-hour-cream-color-P468353?skuId=2798239&amp;icid2=products grid:p468353:product,https://www.sephora.com/productimages/sku/s2798239-main-zoom.jpg?imwidth=175,"Danessa Myricks Beauty - Colorfix - Multi-Use Eye, Cheek &amp; Lip Waterproof Liquid Pigment",20.0
/product/mini-dramatique-mega-lip-pencil-duo-P514912?skuId=2840080&amp;icid2=products grid:p514912:product,https://www.sephora.com/productimages/sku/s2840080-main-zoom.jpg?imwidth=175,PAT McGRATH LABS - Mini Dramatique Mega Lip Pencil Set,32.0
/product/hot-lips-lipstick-2-0-P446609?skuId=2244564&amp;icid2=products grid:p446609:product,https://www.sephora.com/productimages/sku/s2244564-main-zoom.jpg?imwidth=175,Charlotte Tilbury - Hot Lips Lipstick 2,38.0
/product/hourglass-unlocked-tm-soft-matte-lipstick-P510553?skuId=2738946&amp;icid2=products grid:p510553:product,https://www.sephora.com/productimages/sku/s2738946-main-zoom.jpg?imwidth=175,Hourglass - Unlocked™ Soft Matte Lipstick,38.0
/product/vice-lip-bond-longwear-liquid-lipstick-P501181?skuId=2589653&amp;icid2=products grid:p501181:product,https://www.sephora.com/productimages/sku/s2589653-main-zoom.jpg?imwidth=175,Urban Decay - Vice Lip Bond Glossy Longwear Liquid Lipstick,28.0
/product/sarah-creal-speak-for-yourself-hydrating-lipstick-P513257?skuId=2823839&amp;icid2=products grid:p513257:product,https://www.sephora.com/productimages/sku/s2823839-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,Sarah Creal - Speak For Yourself Hydrating Lipstick,50.0
/product/valentino-rosso-valentino-refillable-lipstick-P479501?skuId=2734366&amp;icid2=products grid:p479501:product,https://www.sephora.com/productimages/sku/s2734366-main-zoom.jpg?imwidth=175,Valentino - Rosso Valentino High Pigment Refillable Lipstick,30.0
/product/multi-stick-P411848?skuId=2564359&amp;icid2=products grid:p411848:product,https://www.sephora.com/productimages/sku/s2564359-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,ILIA - Multi-Stick Cream Blush + Highlighter + Lip Tint,36.0
/product/le-rouge-P377755?skuId=2595296&amp;icid2=products grid:p377755:product,https://www.sephora.com/productimages/sku/s2595296-main-zoom.jpg?imwidth=175,Givenchy - Rouge Interdit Intense Silk Satin Matte Lipstick,33.0
/product/lys-beauty-speak-love-lipstick-collection-P503938?skuId=2654986&amp;icid2=products grid:p503938:product,https://www.sephora.com/productimages/sku/s2654986-main-zoom.jpg?pb=clean-at-sephora&amp;imwidth=175,LYS Beauty - Speak Love Moisture Matte Lipstick,20.0
/product/laura-mercier-caviar-smoothing-matte-lipstick-P512645?skuId=2793362&amp;icid2=products grid:p512645:product,https://www.sephora.com/productimages/sku/s2793362-main-zoom.jpg?imwidth=175,Laura Mercier - Caviar Smoothing Matte Lipstick,45.0
/product/pat-mcgrath-labs-dramatique-mega-lip-pencil-P511701?skuId=2766814&amp;icid2=products grid:p511701:product,https://www.sephora.com/productimages/sku/s2766814-main-zoom.jpg?imwidth=175,PAT McGRATH LABS - Dramatique Mega Lip Pencil,29.0
/product/gucci-rouge-agrave-l-egrave-vres-satin-lipstick-P452736?skuId=2749489&amp;icid2=products grid:p452736:product,https://www.sephora.com/productimages/sku/s2749489-main-zoom.jpg?imwidth=175,Gucci - Long Lasting Satin Lipstick,45.0
/product/guerlain-kisskiss-bee-glow-lipstick-balm-P483450?skuId=2511186&amp;icid2=products grid:p483450:product,https://www.sephora.com/productimages/sku/s2511186-main-zoom.jpg?pb=allure-2022-bestofbeauty-badge&amp;imwidth=175,GUERLAIN - KissKiss Bee Glow Lipstick Balm,40.0
/product/charlotte-tilbury-k-i-s-s-i-n-g-lipstick-and-lip-gloss-duos-P511724?skuId=2765865&amp;icid2=products grid:p511724:product,https://www.sephora.com/productimages/sku/s2765865-main-zoom.jpg?imwidth=175,Charlotte Tilbury - K.I.S.S.I.N.G Lipstick and Lip Gloss Duos,27.0
/product/l-absolu-rouge-P244911?skuId=2494037&amp;icid2=products grid:p244911:product,https://www.sephora.com/productimages/sku/s2494037-main-zoom.jpg?imwidth=175,Lancôme - L'Absolu Rouge Cream Lipstick,35.0
/product/huda-beauty-power-bullet-cr-egrave-me-glow-lipstick-P471244?skuId=2419711&amp;icid2=products grid:p471244:product,https://www.sephora.com/productimages/sku/s2419711-main-zoom.jpg?imwidth=175,HUDA BEAUTY - Power Bullet Cream Glow Hydrating Lipstick,27.0
